id,language,category,question,answer
13,en,Warranty/Repair,What is the warranty period for NovaTech products?,"All genuine NovaTech products come with a 1-year free warranty from the date of purchase. Consumables such as batteries have a separate 6-month warranty. Bring your warranty card or purchase receipt to the nearest service center for repair."
14,en,Warranty/Repair,Can a product bought abroad be repaired at a Korean service center?,"Since distribution regions differ by country, products from overseas regions may have limited repair support at Korean service centers. Please use the official service center in your country of purchase, or contact customer service with your serial number to check eligibility."
15,en,Shipping,Which countries do you ship to internationally?,"We ship to a total of 32 countries including the United States, Japan, China, Taiwan, Vietnam, and Germany. You can check the real-time list of available shipping destinations on the checkout page."
16,en,Shipping,Who pays customs duties for international shipping?,"Customs duties and VAT are generally the responsibility of the recipient, based on the destination country's regulations. Some countries have duty-free thresholds, so please check customs rules in advance."
17,en,Product Use,My Bluetooth earbuds won't pair with my smartphone.,"Take both earbuds out of the case and hold the button for 5 seconds until the LED blinks alternately blue and white. Then delete the old pairing record in your phone's Bluetooth settings and search again - this resolves most issues."
18,en,Product Use,How often should I replace the air purifier filter?,"For an average household, we recommend replacing the filter every 3-6 months. If you have pets or live in an area with heavy fine dust, replace it every 2-3 months. Models with a filter-life notification can show remaining life in the app."
19,en,Account/Payment,I forgot my password.,Click 'Forgot Password' on the login screen and you'll receive a reset link at your registered email. The link is valid for 30 minutes.
20,en,Account/Payment,What currencies can I use for international payment?,"We support payment in USD, JPY, CNY, and EUR. The KRW-equivalent charge is displayed based on the exchange rate at the time of payment. Additional overseas transaction fees from your card issuer may apply."
21,ja,返品/返金,購入した製品を返品したいのですが、手順を教えてください。,"商品受け取り後14日以内に、マイページ＞注文履歴から返品申請ができます。商品は未開封または使用痕跡のない状態である必要があり、単純な気変わりによる返品の場合、返送料はお客様負担となります。返品が承認されると3〜5営業日以内に返金が完了します。"
22,ja,返品/返金,海外で購入した製品も返品できますか?,"はい、海外配送の注文も返品可能です。ただし、国際返送料はお客様負担となり、通関手続きのため国内返品より処理期間が7〜14日ほど長くかかる場合があります。"
23,ja,保証/修理,製品の保証期間はどのくらいですか?,すべてのNovaTech正規品は購入日から1年間無償保証が提供されます。バッテリーなどの消耗品は保証期間が6か月と別途適用されます。保証書または購入領収書をお持ちの上、最寄りのサービスセンターにて修理受付が可能です。
24,ja,保証/修理,海外で購入した製品も韓国のASセンターで修理できますか?,"国ごとに流通リージョンが異なるため、海外リージョンの製品は韓国のASセンターでの修理が制限される場合があります。購入された国の公式サービスセンターをご利用いただくか、シリアル番号を添えてカスタマーセンターにお問い合わせください。"
25,ja,配送,海外配送はどの国まで対応していますか?,"アメリカ、日本、中国、台湾、ベトナム、ドイツなど合計32か国へ配送可能です。配送可能国リストは決済ページでリアルタイムにご確認いただけます。"
26,ja,配送,海外配送の際、関税は誰が負担しますか?,"関税および付加価値税は、受け取る国の基準に従い、原則として受取人の負担となります。一部の国では免税枠があるため、事前に通関規定をご確認いただくことをお勧めします。"
27,ja,製品使用,Bluetoothイヤホンがスマートフォンとペアリングできません。,"イヤホンケースから両方のイヤバッドを取り出した状態でボタンを5秒間長押しし、LEDが青と白交互に点滅するか確認してください。その後、スマートフォンのBluetooth設定で既存のペアリング記録を削除し、再度検索するとほとんどの場合解決します。"
28,ja,製品使用,空気清浄機のフィルター交換周期はどのくらいですか?,"一般家庭の場合、3〜6か月ごとの交換を推奨します。ペットがいる場合や微細粉塵の多い地域では2〜3か月ごとの交換が良いでしょう。フィルター交換通知機能があるモデルはアプリで残り寿命を確認できます。"
29,ja,アカウント/決済,パスワードを忘れました。,ログイン画面の「パスワードを忘れた方」をクリック後、登録されたメールアドレスに再設定リンクが届きます。リンクは発行後30分間有効です。
30,ja,アカウント/決済,海外決済時に使用可能な通貨は何ですか?,"USD、JPY、CNY、EURでのお支払いに対応しております。決済時点の為替レートに基づき、円/ウォン換算の請求額が案内されます。カード会社の海外決済手数料が別途発生する場合があります。"
31,zh,退货/退款,我想退还购买的产品,请问流程是怎样的?,"收到商品后14天内,您可以在""我的页面 > 订单记录""中申请退货。商品须为未拆封或无使用痕迹的状态。若为单纯的不满意退货,退货运费由客户承担。退货获批后,3~5个工作日内完成退款。"
32,zh,退货/退款,我在海外购买的产品也可以退货吗?,"可以,国际订单也支持退货。但国际退货运费由客户承担,且由于清关手续,处理时间可能比国内退货多花7~14天。"
33,zh,保修/维修,产品的保修期是多久?,所有NovaTech正品自购买之日起提供1年免费保修。电池等消耗品的保修期另定为6个月。请携带保修卡或购买收据前往最近的服务中心办理维修。
34,zh,保修/维修,在海外购买的产品可以在韩国售后中心维修吗?,"由于各国销售区域不同,海外地区版本的产品在韩国售后中心的维修可能受限。请使用您购买所在国的官方服务中心,或联系客服并提供序列号以确认是否可以维修。"
35,zh,配送,国际配送支持哪些国家?,支持配送至美国、日本、中国、台湾、越南、德国等共32个国家。可在结算页面实时查看可配送国家列表。
36,zh,配送,国际配送的关税由谁承担?,"关税及增值税原则上由收件人根据目的地国家的规定承担。部分国家设有免税额度,建议提前确认当地通关规定。"
37,zh,产品使用,蓝牙耳机无法与智能手机配对。,"请将两只耳机从充电盒中取出,长按按钮5秒,确认LED灯是否交替闪烁蓝色和白色。然后在手机蓝牙设置中删除原有配对记录并重新搜索,大多数情况下即可解决。"
38,zh,产品使用,空气净化器滤网多久更换一次?,"一般家庭建议每3~6个月更换一次滤网。如果家中有宠物或所在地区细颗粒物较多,建议每2~3个月更换一次。带有滤网寿命提醒功能的型号可在App中查看剩余寿命。"
39,zh,账户/支付,我忘记密码了。,"请在登录页面点击""忘记密码"",系统会向您注册的邮箱发送重置链接。该链接在发出后30分钟内有效。"
40,zh,账户/支付,国际支付支持哪些货币?,支持使用USD、JPY、CNY、EUR付款。系统会根据支付时的汇率显示对应的本币金额。您的发卡行可能会另外收取海外交易手续费。
